,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,-8,Does not apply,138
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",12
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,2,2. Professional occupations,20
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,10
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,8
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,5,5. Skilled trades occupations,15
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",4
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,6
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",2
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,9,9. Elementary occupations,15
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,-8,Does not apply,3119
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",345
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,2,2. Professional occupations,817
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,250
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,154
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,479
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",107
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,161
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",29
E12000004,East Midlands,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,9,9. Elementary occupations,230
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,-8,Does not apply,2718
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",58
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,2,2. Professional occupations,91
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,50
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,26
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,5,5. Skilled trades occupations,58
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",63
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,85
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",141
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,9,9. Elementary occupations,155
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,-8,Does not apply,22712
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",1321
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,2,2. Professional occupations,5445
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,988
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,888
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,1367
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",1581
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,1849
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",4196
E12000004,East Midlands,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,9,9. Elementary occupations,5090
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,-8,Does not apply,153
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",3
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,2,2. Professional occupations,26
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,7
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,8
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,5,5. Skilled trades occupations,6
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",22
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,12
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,9,9. Elementary occupations,32
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,-8,Does not apply,2344
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",162
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,2,2. Professional occupations,1366
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,179
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,144
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,212
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",619
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,170
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",113
E12000004,East Midlands,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,9,9. Elementary occupations,510
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,-8,Does not apply,4
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,2,2. Professional occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,9,9. Elementary occupations,1
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,-8,Does not apply,58
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",6
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,2,2. Professional occupations,10
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,15
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,3
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",6
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,4
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",1
E12000004,East Midlands,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,9,9. Elementary occupations,8
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,-8,Does not apply,557
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",31
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,2,2. Professional occupations,131
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,76
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,33
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,5,5. Skilled trades occupations,17
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",34
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,18
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",9
E12000004,East Midlands,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,9,9. Elementary occupations,22
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,-8,Does not apply,2427
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",425
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,2,2. Professional occupations,1035
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,573
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,310
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,139
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",159
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,175
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",70
E12000004,East Midlands,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,9,9. Elementary occupations,157
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,-8,Does not apply,264
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",4
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,2,2. Professional occupations,25
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,13
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,11
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,5,5. Skilled trades occupations,10
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",36
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,8
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",14
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,9,9. Elementary occupations,34
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,-8,Does not apply,1509
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",143
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,2,2. Professional occupations,451
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,259
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,151
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,195
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",346
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,127
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",298
E12000004,East Midlands,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,9,9. Elementary occupations,491
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,-8,Does not apply,124
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",17
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,2,2. Professional occupations,37
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,18
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,12
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,5,5. Skilled trades occupations,5
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",7
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,7,7. Sales and customer service occupations,8
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",7
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,9,9. Elementary occupations,12
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,-8,Does not apply,606
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",246
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,2,2. Professional occupations,430
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,221
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,98
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,5,5. Skilled trades occupations,111
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",102
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,68
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",45
E12000004,East Midlands,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,9,9. Elementary occupations,75
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,16,British Overseas Territories,-8,Does not apply,9,9. Elementary occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,-8,Does not apply,12
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",2
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,2,2. Professional occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000004,East Midlands,16,British Overseas Territories,1,Disabled under the Equality Act,9,9. Elementary occupations,0
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,-8,Does not apply,40
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",2
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,2,2. Professional occupations,2
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,4
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,4
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,1
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",3
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,1
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",1
E12000004,East Midlands,16,British Overseas Territories,2,Not disabled under the Equality Act,9,9. Elementary occupations,3
E12000004,East Midlands,17,No passport held,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,17,No passport held,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000004,East Midlands,17,No passport held,-8,Does not apply,2,2. Professional occupations,0
E12000004,East Midlands,17,No passport held,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000004,East Midlands,17,No passport held,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000004,East Midlands,17,No passport held,-8,Does not apply,5,5. Skilled trades occupations,0
E12000004,East Midlands,17,No passport held,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
